Match,Result,Unret%,<=3 W%,RiP W%,SvImpact,1st: Unret%,<=3 W%,RiP W%,SvImpact,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,2ndAgg

2025 Australian Open SF,L vs Zverev,27.8%,35.2%,53.8%,29.6%,45.2%,51.6%,41.2%,48.4%,58.3%,63.2%,100.0%,4.3%,13.0%,63.6%,-79
2025 Australian Open QF,W vs Alcaraz,27.2%,38.2%,47.9%,34.0%,29.1%,39.5%,47.5%,39.9%,53.8%,36.2%,62.5%,25.5%,38.3%,48.6%,12
2025 Australian Open R16,W vs Lehecka,40.2%,45.7%,59.6%,45.5%,51.9%,61.1%,61.5%,60.9%,52.4%,51.5%,100.0%,25.7%,25.7%,57.7%,40
2025 Australian Open R32,W vs Machac,34.2%,41.8%,60.4%,39.0%,41.2%,49.0%,66.7%,48.6%,47.8%,64.3%,50.0%,25.0%,33.3%,50.0%,118
2025 Australian Open R128,W vs Basavareddy,49.1%,52.8%,50.0%,51.7%,62.5%,65.3%,40.7%,66.4%,43.8%,50.0%,50.0%,23.3%,30.0%,60.9%,99
2025 Brisbane QF,L vs Opelka,37.0%,43.8%,51.1%,40.5%,41.5%,49.1%,51.6%,46.4%,42.9%,50.0%,20.0%,26.3%,31.6%,50.0%,-3
2025 Brisbane R16,W vs Monfils,32.7%,40.4%,61.8%,37.7%,41.2%,52.9%,60.0%,48.8%,55.6%,68.8%,100.0%,17.6%,17.6%,64.3%,5
2025 Brisbane R32,W vs Hijikata,40.4%,61.7%,64.3%,46.8%,48.4%,67.7%,62.5%,58.1%,42.9%,35.3%,-,25.0%,50.0%,66.7%,-79
2024 Shanghai F,L vs Sinner,37.9%,48.3%,52.8%,41.6%,52.6%,60.5%,50.0%,58.2%,41.2%,61.9%,100.0%,10.0%,25.0%,55.6%,-79
2024 Shanghai SF,W vs Fritz,26.8%,46.5%,63.5%,37.9%,34.0%,56.0%,66.7%,49.8%,65.4%,33.3%,-,9.5%,23.8%,57.9%,-79
2024 Shanghai QF,W vs Mensik,32.9%,40.2%,61.1%,39.6%,36.5%,46.2%,72.7%,47.1%,50.0%,36.7%,0.0%,27.6%,31.0%,42.9%,-29
2024 Shanghai R16,W vs Safiullin,39.2%,56.9%,60.0%,49.6%,54.5%,75.8%,73.3%,70.6%,47.1%,50.0%,0.0%,11.8%,23.5%,46.7%,4
2024 Shanghai R32,W vs Cobolli,25.0%,50.0%,82.1%,36.5%,25.0%,58.3%,77.8%,44.2%,75.0%,66.7%,-,28.6%,42.9%,90.0%,110
2024 US Open R32,L vs Popyrin,33.1%,40.8%,49.3%,39.8%,38.2%,50.0%,53.2%,49.6%,56.4%,54.1%,80.0%,35.0%,37.5%,42.3%,167
2024 US Open R64,W vs Djere,30.3%,39.3%,53.7%,36.3%,35.7%,52.4%,66.7%,48.3%,38.9%,33.3%,60.0%,30.8%,33.3%,40.7%,163
2024 US Open R128,W vs Albot,31.3%,42.2%,59.6%,36.9%,43.6%,64.1%,54.5%,55.4%,57.9%,40.0%,-,26.5%,29.4%,64.0%,107
2024 Paris Olympics F,W vs Alcaraz,30.1%,36.6%,60.3%,39.1%,37.7%,46.4%,65.1%,49.9%,55.2%,52.5%,37.5%,9.1%,9.1%,50.0%,-26
2024 Paris Olympics SF,W vs Musetti,16.4%,27.3%,57.8%,23.1%,16.7%,30.6%,56.7%,26.9%,64.3%,40.9%,50.0%,16.7%,22.2%,60.0%,1
2024 Paris Olympics QF,W vs Tsitsipas,28.7%,36.3%,48.2%,34.9%,31.6%,40.4%,48.7%,40.2%,28.6%,51.7%,75.0%,22.7%,27.3%,47.1%,-13
2024 Paris Olympics R16,W vs Koepfer,28.6%,42.9%,65.0%,35.4%,41.7%,52.8%,76.2%,52.2%,40.0%,42.9%,-,5.0%,25.0%,52.6%,-79
2024 Paris Olympics R32,W vs Nadal,27.1%,39.6%,58.8%,36.7%,31.0%,37.9%,70.0%,46.9%,33.3%,58.8%,-,22.2%,44.4%,42.9%,1
2024 Paris Olympics R64,W vs Ebden,33.3%,56.7%,75.0%,46.0%,38.9%,61.1%,72.7%,60.0%,54.5%,28.6%,-,25.0%,50.0%,77.8%,-79
2024 Wimbledon F,L vs Alcaraz,24.8%,38.6%,47.2%,35.2%,29.6%,49.3%,52.0%,44.5%,58.3%,48.6%,55.6%,15.4%,15.4%,36.4%,29
2024 Wimbledon SF,W vs Musetti,28.2%,40.8%,54.3%,36.5%,37.7%,52.2%,60.5%,50.1%,44.8%,45.0%,100.0%,10.0%,20.0%,44.4%,-21
2024 Wimbledon R16,W vs Rune,26.3%,43.8%,66.7%,36.1%,30.8%,51.9%,63.9%,46.0%,52.0%,44.4%,50.0%,19.2%,30.8%,71.4%,29
2024 Wimbledon R32,W vs Popyrin,47.8%,58.4%,64.3%,56.8%,56.4%,71.8%,73.5%,69.5%,51.4%,51.2%,100.0%,31.3%,31.3%,50.0%,51
2024 Wimbledon R128,W vs Kopriva,44.8%,62.1%,72.4%,56.6%,47.4%,73.7%,80.0%,65.3%,47.4%,42.1%,-,47.1%,47.1%,55.6%,80
2024 Roland Garros R16,W vs Cerundolo,20.2%,32.2%,54.2%,27.9%,27.6%,39.8%,57.3%,39.1%,53.7%,59.4%,41.7%,5.2%,17.2%,49.1%,-63
2024 Roland Garros R32,W vs Musetti,14.4%,26.6%,56.4%,24.1%,17.6%,34.1%,62.7%,32.4%,37.8%,50.0%,100.0%,8.7%,13.0%,45.2%,-26
2024 Roland Garros R64,W vs Carballes Baena,23.3%,42.5%,58.2%,33.8%,26.1%,54.3%,61.8%,42.8%,43.5%,56.5%,-,19.2%,23.1%,52.4%,-23
2024 Roland Garros R128,W vs Herbert,31.7%,46.3%,74.1%,39.8%,37.5%,48.2%,74.3%,49.3%,61.5%,60.0%,-,20.8%,45.8%,73.7%,37
2024 Geneva QF,W vs Griekspoor,39.6%,52.8%,61.3%,46.6%,47.4%,60.5%,75.0%,57.1%,66.7%,60.0%,20.0%,21.4%,35.7%,36.4%,22
2024 Rome R32,L vs Tabilo,30.8%,34.6%,45.2%,35.0%,33.3%,40.7%,55.6%,41.5%,44.4%,38.9%,0.0%,35.0%,35.0%,30.8%,190
2024 Rome R64,W vs Moutet,11.9%,28.6%,62.2%,23.1%,11.5%,38.5%,60.9%,29.6%,53.8%,61.5%,0.0%,12.5%,12.5%,64.3%,-79
2024 Monte Carlo SF,L vs Ruud,20.3%,36.7%,55.7%,29.9%,30.4%,47.8%,53.1%,47.0%,44.4%,53.6%,40.0%,6.5%,22.6%,58.6%,-51
2024 Monte Carlo QF,W vs De Minaur,20.3%,25.0%,54.0%,25.6%,23.8%,28.6%,53.1%,31.9%,55.0%,59.1%,66.7%,14.3%,19.0%,55.6%,-10
2024 Monte Carlo R16,W vs Musetti,22.4%,31.3%,54.0%,32.2%,28.3%,41.3%,54.5%,42.6%,52.6%,51.9%,100.0%,10.5%,10.5%,52.9%,-13
2024 Monte Carlo R32,W vs Safiullin,38.2%,58.8%,71.4%,47.4%,43.5%,65.2%,61.5%,57.0%,41.7%,45.5%,-,27.3%,45.5%,87.5%,-79
2024 Indian Wells R32,L vs Nardi,32.6%,44.2%,46.0%,37.9%,42.1%,59.6%,60.6%,50.9%,45.8%,54.5%,60.0%,18.9%,21.6%,30.0%,-39
2024 Indian Wells R64,W vs Vukic,38.2%,48.7%,59.5%,42.2%,54.3%,65.2%,61.9%,61.1%,54.2%,50.0%,0.0%,16.0%,28.0%,57.1%,29
2024 Australian Open SF,L vs Sinner,20.7%,29.3%,52.3%,25.8%,28.2%,37.2%,53.6%,35.8%,44.1%,38.6%,28.6%,5.9%,14.7%,50.0%,-60
2024 Australian Open QF,W vs Fritz,40.0%,53.9%,57.6%,46.9%,51.4%,66.7%,62.9%,62.4%,48.3%,39.5%,33.3%,22.5%,35.0%,51.6%,27
2024 Australian Open R16,W vs Mannarino,42.0%,52.2%,65.7%,47.4%,54.2%,64.6%,59.1%,61.9%,60.0%,42.9%,0.0%,18.8%,31.3%,76.9%,39
2024 Australian Open R64,W vs Popyrin,34.5%,41.2%,59.0%,40.5%,41.1%,49.3%,69.8%,51.0%,39.5%,60.0%,100.0%,23.9%,28.3%,45.7%,-79
